SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'GN300001,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,BOX,,,1,,,,A,7,,
'GN300002,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,BOX,,,2,,,,A,7,,
'GN300003,BLOCK CHART,ค่าบล็อคโลโก้,SET,,,3,,,,A,7,,
'GN300004,CALCULATOR PAPER ROLL - 2.1/4 '' (1*10)/PACK,"กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค",PACK,,,4,,,,A,7,,
'GN300005,CARD PAPER COLORS RED A4 120G.(1*50),กระดาษการ์ดสีแดง A4120G.(1*50),PACK,,,5,,,,A,7,,
'GN300006,CHEMICAL MARKER PEN BLACK (HORSE ),ปากกาเคมี 2 หัว สีดำ ตราม้า,PCS,,,6,,,,A,7,,
'GN300007,CHEMICAL MARKER PEN BLUE (HORSE ),ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า,PCS,,,7,,,,A,7,,
'GN300008,CHEMICAL MARKER PEN RED (HORSE ),ปากกาเคมี 2 หัว สีแดง ตราม้า,PCS,,,8,,,,A,7,,
'GN300009,CUTTER BIG PLASATIC 18 mm.,คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.,PCS,,,9,,,,A,7,,
'GN300010,CUTTER BLADES BIG 18mm. (1*6)/PACK,ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค,PACK,,,10,,,,A,7,,
'GN300011,CUTTER BLADES SMALL 9mm (1*10) /PACK,ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค,PACK,,,11,,,,A,7,,
'GN300012,CUTTER SMALL SILVER 3MM. HORSE,คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า,PCS,,,12,,,,A,7,,
'GN300013,DOCUMENT BOX  SIZE 32 x40 x27 CM. ( 1 x 2 ),กล่องใส่เอกสารขนาดมาตรฐาน 32*40*27 ซม (1*2),SET,,,13,,,,A,7,,
'GN300014,DOUBLE-SIDED FOAM TAPE 21MM.x 5M. 3M,เทปโฟม 2 หน้า 21 มม. X 5 เมตร 3M,ROLL,,,14,,,,A,7,,
'GN300015,ENVELOPE BROWN STRONG A4 (1*50)/PACK,ซองกระดาษสีน้ำตาล ขนาด A4 ( 1*50 ชิ้น ),PACK,,,15,,,,A,7,,
'GN300016,EPSON RIBBON CARTRIDGE ERC-38 B/R TM-U,EPSON RIBBON CARTRIDGE ERC-38 B/R TM-U,PCS,,,16,,,,A,7,,
